GeneName	Description	Process
PCX	Pyruvate carboxylase catalyzes a 2-step reaction, involving the ATP-dependent carboxylation of the covalently attached biotin in the first step and the transfer of the carboxyl group to pyruvate in the second. Catalyzes in a tissue specific manner, the initial reactions of glucose (liver, kidney) and lipid (adipose tissue, liver, brain) synthesis from pyruvate	Glycolysis
GPI1	catalytic activity:D-glucose 6-phosphate = D-fructose 6-phosphatefunction:Besides it's role as a glycolytic enzyme, mammalian GPI can function as a tumor-secreted cytokine and an angiogenic factor (AMF) that stimulates endothelial cell motility. GPI is also a neurotrophic factor (Neuroleukin) for spinal and sensory neuronspathway:Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2pathway:Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 2/4similarity:Belongs to the GPI familysubunit:Homodimer in the catalytically active form, monomer in the secreted form	Glycolysis
HK2	catalytic activity:ATP + D-hexose = ADP + D-hexose 6-phosphatedomain:The N- and C-terminal halves of this hexokinase show extensive sequence similarity to each other. The catalytic activity is associated with the C-terminus while regulatory function is associated with the N-terminusenzyme regulation:Hexokinase is an allosteric enzyme inhibited by its product Glc-6-Pmiscellaneous:In vertebrates there are four major glucose-phosphorylating isoenzymes, designated hexokinase I, II, III and IV (glucokinase)pathway:Carbohydrate metabolism; hexose metabolismsimilarity:Belongs to the hexokinase familysubunit:Monomer	Glycolysis
LDHAL6B	catalytic activity:(S)-lactate + NAD(+) = pyruvate + NADHpathway:Fermentation; pyruvate fermentation to lactate; (S)-lactate from pyruvate: step 1/1similarity:Belongs to the LDH/MDH superfamilysimilarity:Belongs to the LDH/MDH superfamily. LDH family	Glycolysis
GAPDH	This gene encodes a member of the glyceraldehyde-3-phosphate dehydrogenase protein family. The encoded protein has been identified as a moonlighting protein based on its ability to perform mechanistically distinct functions. The encoded protein was originally identified as a key glycolytic enzyme that converts D-glyceraldehyde 3-phosphate (G3P) into 3-phospho-D-glyceroyl phosphate. Subsequent studies have assigned a variety of additional functions to the protein including nitrosylation of nuclear proteins, the regulation of mRNA stability, and acting as a transferrin receptor on the cell surface of macrophage. Alternative splicing results in multiple transcript variants. Many pseudogenes similar to this locus are found throughout the mouse genome. 	Glycolysis
HK1	catalytic activity:ATP + D-hexose = ADP + D-hexose 6-phosphatedevelopmental stage:Isoform HK1-SA is first expressed during meiosis and continues to be present in postmeiotic germ cells while isoform HK1-SB is present only in postmeiotic germ cellsdomain:The N- and C-terminal halves of this hexokinase show extensive sequence similarity to each other. The catalytic activity is associated with the C-terminus while regulatory function is associated with the N-terminusenzyme regulation:Hexokinase is an allosteric enzyme inhibited by its product Glc-6-Pmiscellaneous:In vertebrates there are four major glucose-phosphorylating isoenzymes, designated hexokinase I, II, III and IV (glucokinase)pathway:Carbohydrate metabolism; hexose metabolismPTM:Isoform HK1-SC is tyrosine-phosphorylatedsimilarity:Belongs to the hexokinase familysubcellular location:Isoform HK1-SC is an integral membrane proteinsubunit:Monomertissue specificity:In rapidly growing tumor cells exhibiting high glucose catabolic rates, isoform HK1 is markedly elevated. Isoform HK1-SA, isoform HK1-SB and isoform HK1-SC are found only in spermatogenic cells. Isoform HK1-SC is detected in round spermatids, condensing spermatids and mature sperm where it is found in the head membranes, mitochondria of the midpiece and the fibrous sheath of the flagellum	Glycolysis
TPI1	catalytic activity:D-glyceraldehyde 3-phosphate = glycerone phosphatepathway:Carbohydrate biosynthesis; gluconeogenesispathway:Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate from glycerone phosphate: step 1/1similarity:Belongs to the triosephosphate isomerase familysubunit:Homodimer	Glycolysis
PKLR	catalytic activity:ATP + pyruvate = ADP + phosphoenolpyruvatecofactor:Divalent metal cationscofactor:Magnesiumcofactor:Potassiummiscellaneous:There are 4 isozymes of pyruvate kinase in mammals: L, R, M1 and M2. L type is major isozyme in the liver, R is found in red cells, M1 is the main form in muscle, heart and brain, and M2 is found in early fetal tissuespathway:Carbohydrate degradation; glycolysis; pyruvate from D-glyceraldehyde 3-phosphate: step 5/5similarity:Belongs to the pyruvate kinase familysubunit:Homotetramer	Glycolysis
UROD	Catalyzes the decarboxylation of four acetate groups of uroporphyrinogen-III to yield coproporphyrinogen-III (By similarity)	Heme Biosynthesis
UROS	catalytic activity:Hydroxymethylbilane = uroporphyrinogen III + H(2)Opathway:Porphyrin metabolism; protoporphyrin-IX biosynthesis; coproporphyrinogen-III from 5-aminolevulinate: step 3/4subunit:Monomer	Heme Biosynthesis
FECH	Catalyzes the ferrous insertion into protoporphyrin IX (By similarity)Catalyzes the ferrous insertion into protoporphyrin IX	Heme Biosynthesis
ALAS1	catalytic activity:Succinyl-CoA + glycine = 5-aminolevulinate + CoA + CO(2)cofactor:Pyridoxal phosphatemiscellaneous:There are two delta-ALA synthetase in vertebrates: an erythroid- specific form and one (housekeeping) which is expressed in all tissuespathway:Porphyrin metabolism; protoporphyrin-IX biosynthesis; 5-aminolevulinate from glycine: step 1/1similarity:Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase familysubunit:Homodimer	Heme Biosynthesis
CPOX	catalytic activity:Coproporphyrinogen-III + O(2) + 2 H(+) = protoporphyrinogen-IX + 2 CO(2) + 2 H(2)Opathway:Porphyrin metabolism; protoporphyrin-IX biosynthesis; protoporphyrinogen-IX from coproporphyrinogen-III (O2 route): step 1/1PTM:Acetylation of Lys-360 is observed in liver mitochondria from fasted mice but not from fed micesimilarity:Belongs to the aerobic coproporphyrinogen-III oxidase familytissue specificity:Erythroid cells and non erythroid cells such as liver	Heme Biosynthesis
ALAS2	catalytic activity:Succinyl-CoA + glycine = 5-aminolevulinate + CoA + CO(2)cofactor:Pyridoxal phosphatemiscellaneous:There are two delta-ALA synthetase in vertebrates: an erythroid- specific form and one (housekeeping) which is expressed in all tissuespathway:Porphyrin metabolism; protoporphyrin-IX biosynthesis; 5-aminolevulinate from glycine: step 1/1similarity:Belongs to the class-II pyridoxal-phosphate-dependent aminotransferase familysubunit:Homodimertissue specificity:Erythroid specific	Heme Biosynthesis
PPOX	Catalyzes the 6-electron oxidation of protoporphyrinogen-IX to form protoporphyrin-IX	Heme Biosynthesis
HMBS	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps	Heme Biosynthesis
FTMT	catalytic activity:4 Fe(2+) + 4 H(+) + O(2) = 4 Fe(3+) + 2 H(2)Ofunction:Stores iron in a soluble, non-toxic, readily available form. Important for iron homeostasis. Has ferroxidase activity. Iron is taken up in the ferrous form and deposited as ferric hydroxides after oxidationsimilarity:Belongs to the ferritin familysimilarity:Contains 1 ferritin-like diiron domainsubunit:Homo-oligomer of 24 subunits. The functional molecule is roughly spherical and contains a central cavity into which the polymeric mineral iron core is deposited	Heme Biosynthesis
AU015836	Unknown	Import & Sorting
CMC4	similarity: This gene was identified by involvement in some t(X;14) translocations associated with mature T-cell proliferations. This region has a complex gene structure, with a common promoter and 5&apos; exon spliced to two different sets of 3&apos; exons that encode two different proteins. This gene represents the downstream 8 kDa protein that localizes to mitochondria.[provided by RefSeq, Mar 2009],	Import & Sorting
MTX3	Could function in transport of proteins into the mitochondrion (By similarity)	Import & Sorting
TIMM29	similarity: protein import into mitochondrial matrix	Import & Sorting
TOMM20L	similarity:Belongs to the Tom20 family	Import & Sorting
PMPCB	catalytic activity:Release of N-terminal transit peptides from precursor proteins imported into the mitochondrion, typically with Arg in position P2cofactor:Binds 1 zinc ion per subunitfunction:Cleaves presequences (transit peptides) from mitochondrial protein precursorssimilarity:Belongs to the peptidase M16 familysubunit:Heterodimer of alpha and beta subunits	Import & Sorting
GRPEL1	function:Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent mannerfunction:Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. Seems to control the nucleotide-dependent binding of mitochondrial HSP70 to substrate proteinssimilarity:Belongs to the grpE familysubunit:Probable component of the PAM complex at least composed of a mitochondrial HSP70 protein, GRPEL1 or GRPEL2, TIMM44, TIMM16/MAGMAS and TIMM14/DNAJC19. Binds to HSP70, HSC70 and HSJ1B	Import & Sorting
PMPCA	catalytic activity:Release of N-terminal transit peptides from precursor proteins imported into the mitochondrion, typically with Arg in position P2caution:Does not seem to have a protease activity as it lack the zinc-binding sitefunction:Cleaves presequences (transit peptides) from mitochondrial protein precursorssimilarity:Belongs to the peptidase M16 familysubunit:Heterodimer of alpha and beta subunits	Import & Sorting
TIMM10	Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. May also be required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space (By similarity)Mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. The TIMM8-TIMM13 complex mediates the import of proteins such as TIMM23, SLC25A12/ARALAR1 and SLC25A13/ARALAR2, while the predominant TIMM9-TIMM10 70 kDa complex mediates the import of much more proteins (By similarity)	Import & Sorting
TIMM50	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane (By similarity)	Import & Sorting
TIMM9	Mitochondrial intermembrane chaperone that participates in the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. May also be required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space (By similarity)	Import & Sorting
SAMM50	May be required for the assembly pathway of mitochondrial outer membrane proteins (By similarity)	Import & Sorting
TIMM13	Mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. The TIMM8-TIMM13 complex mediates the import of proteins such as TIMM23, SLC25A12/ARALAR1 and SLC25A13/ARALAR2, while the predominant TIMM9-TIMM10 70 kDa complex mediates the import of much more proteins (By similarity)	Import & Sorting
TIMM44	Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. Recruits mitochondrial HSP70 to drive protein translocation into the matrix using ATP as an energy source	Import & Sorting
TIMM8B	Probable mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space (By similarity)	Import & Sorting
CMC2	similarity:Belongs to the CMC1 family	Import & Sorting
MTX2	Involved in transport of proteins into the mitochondrion	Import & Sorting
MIPEP	Cleaves proteins, imported into the mitochondrion, to their mature size (By similarity)	Import & Sorting
TOMM40L	Potential channel-forming protein implicated in import of protein precursors into mitochondria (By similarity)	Import & Sorting
TOMM7	Required for assembly and stability of the TOM complex (By similarity)	Import & Sorting
PPIF	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides (By similarity)	Import & Sorting
TIMM17A	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane	Import & Sorting
TIMM22	Essential core component of the TIM22 complex, a complex that mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. In the TIM22 complex, it constitutes the voltage-activated and signal-gated channel. Forms a twin-pore translocase that uses the membrane potential as external driving force in 2 voltage-dependent steps (By similarity)	Import & Sorting
TOMM22	Central receptor component of the translocase of the outer membrane of mitochondria (TOM complex) responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with the peripheral receptor TOM20 functions as the transit peptide receptor and facilitates the movement of preproteins into the translocation pore (By similarity)	Import & Sorting
AFG3L1	AFG3(ATPase family gene 3)-like 1 (yeast)	Import & Sorting
MTX1	Involved in transport of proteins into the mitochondrion. Essential for embryonic development	Import & Sorting
HSPE1	Eukaryotic CPN10 homolog which is essential for mitochondrial protein biogenesis, together with CPN60. Binds to CPN60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter	Import & Sorting
TAMM41	May be involved in the translocation of transit peptide- containing proteins across the mitochondrial inner membrane (By similarity)	Import & Sorting
TOMM40	Channel-forming protein essential for import of protein precursors into mitochondria (By similarity)	Import & Sorting
TIMM21	May participate in the translocation of transit peptide- containing proteins across the mitochondrial inner membrane (By similarity)	Import & Sorting
DNLZ	similarity:Contains 1 DNL-type zinc finger	Import & Sorting
CHCHD4	Required for the import and folding of small cysteine- containing proteins (small Tim) in the mitochondrial intermembrane space (IMS). Probably acts by forming a redox cycle with GFER/ERV1 that involves a disulfide relay system. Precursor proteins to be imported into the IMS are translocated in their reduced form into the mitochondria. The oxidized form of MIA40 forms a transient intermolecular disulfide bridge with the reduced precursor protein, resulting in oxidation of the precursor protein that now contains an intramolecular disulfide bond and is able to undergo folding in the IMS (By similarity)	Import & Sorting
IMMP1L	Catalyzes the removal of transit peptides required for the targeting of proteins from the mitochondrial matrix, across the inner membrane, into the inter-membrane space. Known to process the nuclear encoded protein DIABLO (By similarity)	Import & Sorting
TIMM17B	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane	Import & Sorting
TIMM23	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane	Import & Sorting
TIMM8A1	Mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space. The TIMM8-TIMM13 complex mediates the import of proteins such as TIMM23, SLC25A12/ARALAR1 and SLC25A13/ARALAR2, while the predominant TIMM9-TIMM10 70 kDa complex mediates the import of much more proteins (By similarity)	Import & Sorting
DNAJC15	similarity:Contains 1 J domain	Import & Sorting
GRPEL2	function:Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent mannerfunction:Essential component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. Seems to control the nucleotide-dependent binding of mitochondrial HSP70 to substrate proteins. Stimulates ATPase activity of mt-HSP70. May also serve to modulate the interconversion of oligomeric (inactive) and monomeric (active) forms of mt-HSP70similarity:Belongs to the grpE familysubunit:Probable component of the PAM complex at least composed of a mitochondrial HSP70 protein, GRPEL1 or GRPEL2, TIMM44, TIMM16/MAGMAS and TIMM14/DNAJC19tissue specificity:Ubiquitous	Import & Sorting
IMMP2L	Catalyzes the removal of transit peptides required for the targeting of proteins from the mitochondrial matrix, across the inner membrane, into the inter-membrane space. Known to process the nuclear encoded protein DIABLO (By similarity)	Import & Sorting
YME1L1	Putative ATP-dependent protease which plays a role in mitochondrial protein metabolism (By similarity)	Import & Sorting
TIMM10B	Component of the TIM22 complex, a complex that mediates the import and insertion of multi-pass transmembrane proteins into the mitochondrial inner membrane. The TIM22 complex forms a twin- pore translocase that uses the membrane potential as external driving force. In the TIM22 complex, it may act as a docking point for the soluble 70 kDa complex that guides the target proteins in transit through the aqueous mitochondrial intermembrane space (By similarity)	Import & Sorting
LONP2	lon peptidase 2, peroxisomal	Import & Sorting
TIMMDC1	similarity: tissue specificity:Generalized expression enhanced in heart and skeletal muscle	Import & Sorting
TOMM6	similarity:Belongs to the Tom6 familysubunit:Forms part of the preprotein translocase complex of the outer mitochondrial membrane (TOM complex) which consists of at least 7 different proteins (TOMM5, TOMM6, TOMM7, TOMM20, TOMM22, TOMM40 and TOMM70)	Import & Sorting
TOMM70A	Receptor that accelerates the import of all mitochondrial precursor proteins (By similarity)	Import & Sorting
TIMM8A2	Putative mitochondrial intermembrane chaperone that participates in the import and insertion of some multi-pass transmembrane proteins into the mitochondrial inner membrane. Also required for the transfer of beta-barrel precursors from the TOM complex to the sorting and assembly machinery (SAM complex) of the outer membrane. Acts as a chaperone-like protein that protects the hydrophobic precursors from aggregation and guide them through the mitochondrial intermembrane space (By similarity)	Import & Sorting
CHCHD5	similarity:Contains 1 CHCH domain	Import & Sorting
PAM16	Probable component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. May be required to regulate the ATP- dependent activity (By similarity)	Import & Sorting
TOMM5	similarity:Belongs to the Tom5 familysubunit:Forms part of the preprotein translocase complex of the outer mitochondrial membrane (TOM complex) which consists of at least 7 different proteins (TOMM5, TOMM6, TOMM7, TOMM20, TOMM22, TOMM40 and TOMM70)	Import & Sorting
DNAJC19	Probable component of the PAM complex, a complex required for the translocation of transit peptide-containing proteins from the inner membrane into the mitochondrial matrix in an ATP-dependent manner. May act as a co-chaperone that stimulate the ATP-dependent activity (By similarity)	Import & Sorting
METAP1D	catalytic activity:Release of N-terminal amino acids, preferentially methionine, from peptides and arylamidescofactor:Binds 2 cobalt ions per subunitcofactor:Binds 2 cobalt ions per subunit. The true nature of the physiological cofactor is under debate. The enzyme is also active with zinc, manganese or divalent iron ionsfunction:Removes the amino-terminal methionine from nascent proteinssimilarity:Belongs to the peptidase M24A family	Import & Sorting
TOMM20	Central component of the receptor complex responsible for the recognition and translocation of cytosolically synthesized mitochondrial preproteins. Together with TOM22 functions as the transit peptide receptor at the surface of the mitochondrion outer membrane and facilitates the movement of preproteins into the TOM40 translocation pore (By similarity)	Import & Sorting
TOMM34	Plays a role in the import of cytosolically synthesized preproteins into mitochondria. Binds the mature portion of precursor proteins. Interacts with cellular components, and possesses weak ATPase activity. May be a chaperone-like protein that helps to keep newly synthesized precursors in an unfolded import compatible state (By similarity)	Import & Sorting
LIAS	catalytic activity:Protein N(6)-(octanoyl)lysine + 2 sulfur + 2 S-adenosyl-L-methionine = protein N(6)-(lipoyl)lysine + 2 L-methionine + 2 5'-deoxyadenosinecofactor:Binds 2 4Fe-4S clusters per subunit. One cluster is coordinated with 3 cysteines and an exchangeable S-adenosyl-L-methioninefunction:Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivativespathway:Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 2/2similarity:Belongs to the radical SAM superfamily. Lipoyl synthase familytissue specificity:Expressed predominantly in heart, testis, and liver	Lipoic Acid Metabolism
LIPT2	Catalyzes the transfer of endogenously produced octanoic acid from octanoyl-acyl-carrier-protein onto the lipoyl domains of lipoate-dependent enzymes. Lipoyl-ACP can also act as a substrate although octanoyl-ACP is likely to be the physiological substrate (By similarity)	Lipoic Acid Metabolism
LIPT1	Catalyzes the transfer of the lipoyl group from lipoyl- AMP to the specific lysine residue of lipoyl domains of lipoate- dependent enzymes (By similarity)	Lipoic Acid Metabolism
CDS2	Provides CDP-diacylglycerol an important precursor for the synthesis of phosphatidylinositol, phosphatidylglycerol, and cardiolipin (By similarity)	Metabolism of Lipids & Lipoproteins
FABP6	Ileal protein which stimulates gastric acid and pepsinogen secretion. Seems to be able to bind to bile salts and bilirubins	Metabolism of Lipids & Lipoproteins
FDPS	Key enzyme in isoprenoid biosynthesis which catalyzes the formation of farnesyl diphosphate (FPP), a precursor for several classes of essential metabolites including sterols, dolichols, carotenoids, and ubiquinones. FPP also serves as substrate for protein farnesylation and geranylgeranylation. Catalyzes the sequential condensation of isopentenyl pyrophosphate with the allylic pyrophosphates, dimethylallyl pyrophosphate, and then with the resultant geranylpyrophosphate to the ultimate product farnesyl pyrophosphate (By similarity)	Metabolism of Lipids & Lipoproteins
GPAT2	Esterifies acyl-group from acyl-ACP to the sn-1 position of glycerol-3-phosphate, an essential step in glycerolipid biosynthesis	Metabolism of Lipids & Lipoproteins
HSD3B2	3-beta-HSD is a bifunctional enzyme, that catalyzes the oxidative conversion of Delta(5)-ene-3-beta-hydroxy steroid, and the oxidative conversion of ketosteroids. The 3-beta-HSD enzymatic system plays a crucial role in the biosynthesis of all classes of hormonal steroids	Metabolism of Lipids & Lipoproteins
HSD3B3	3-beta-HSD is a bifunctional enzyme, that catalyzes the oxidative conversion of Delta(5)-ene-3-beta-hydroxy steroid, and the oxidative conversion of ketosteroids. The 3-beta-HSD enzymatic system plays a crucial role in the biosynthesis of all classes of hormonal steroids	Metabolism of Lipids & Lipoproteins
HSD3B4	The 3-beta-HSD enzymatic system plays a crucial role in the biosynthesis of all classes of hormonal steroids. HSD IV can only catalyze the conversion of dihydrotestosterone to 5 alpha- androstanediol in the presence of the cofactor NADPH. Does not function as a isomerase	Metabolism of Lipids & Lipoproteins
HSD3B5	The 3-beta-HSD enzymatic system plays a crucial role in the biosynthesis of all classes of hormonal steroids. HSD V can only catalyze the conversion of dihydrotestosterone to 5 alpha- androstanediol in the presence of the cofactor NADPH. Does not function as a isomerase	Metabolism of Lipids & Lipoproteins
HSD3B6	3-beta-HSD is a bifunctional enzyme, that catalyzes the oxidative conversion of Delta(5)-ene-3-beta-hydroxy steroid, and the oxidative conversion of ketosteroids. The 3-beta-HSD enzymatic system plays a crucial role in the biosynthesis of all classes of hormonal steroids. May be involved in local production of progesterone	Metabolism of Lipids & Lipoproteins
PRELID3A	smilarity: similarity:Belongs to the slowmo familysimilarity:Contains 1 PRELI/MSF1 domain	Metabolism of Lipids & Lipoproteins
PRELID3B	smilarity: similarity:Belongs to the slowmo familysimilarity:Contains 1 PRELI/MSF1 domain	Metabolism of Lipids & Lipoproteins
SLC27A3	Has acyl-CoA ligase activity for long-chain and very- long-chain fatty acids. Does not exhibit fatty acid transport activity	Metabolism of Lipids & Lipoproteins
SARDH	catalytic activity:Sarcosine + acceptor + H(2)O = glycine + formaldehyde + reduced acceptorcofactor:Binds 1 FAD covalently per monomerpathway:Amine and polyamine degradation; sarcosine degradation; formaldehyde and glycine from sarcosine: step 1/1similarity:Belongs to the gcvT family	Metabolism of Lipids & Lipoproteins
LACTB	similarity:Belongs to the peptidase S12 familytissue specificity:Expressed predominantly in liver	Metabolism of Lipids & Lipoproteins
DMGDH	catalytic activity:N,N-dimethylglycine + acceptor + H(2)O = sarcosine + formaldehyde + reduced acceptorcofactor:Binds 1 FAD covalently per monomerpathway:Amine and polyamine degradation; betaine degradation; sarcosine from betaine: step 2/2similarity:Belongs to the gcvT family	Metabolism of Lipids & Lipoproteins
PISD	catalytic activity:Phosphatidyl-L-serine = phosphatidylethanolamine + CO(2)cofactor:Pyruvoyl grouppathway:Phospholipid metabolism; phosphatidylethanolamine biosynthesis; phosphatidylethanolamine from CDP-diacylglycerol: step 2/2similarity:Belongs to the phosphatidylserine decarboxylase familysubunit:Heterodimer	Metabolism of Lipids & Lipoproteins
CYP27A1	Catalyzes the first step in the oxidation of the side chain of sterol intermediates; the 27-hydroxylation of 5-beta- cholestane-3-alpha,7-alpha,12-alpha-triol. Has also a vitamin D3- 25-hydroxylase activity (By similarity)	Metabolism of Lipids & Lipoproteins
OPA3	May play some role in mitochondrial processes (By similarity)	Metabolism of Lipids & Lipoproteins
NUDT19	Acyl-CoA diphosphatase that mediates the hydrolysis of a wide range of CoA esters, including choloyl-CoA and branched-chain fatty-acyl-CoA esters. At low substrate concentrations medium and long-chain fatty-acyl-CoA esters are the primary substrates	Metabolism of Lipids & Lipoproteins
STARD7	similarity:Contains 1 START domain	Metabolism of Lipids & Lipoproteins
HSD3B1	3-beta-HSD is a bifunctional enzyme, that catalyzes the oxidative conversion of Delta(5)-ene-3-beta-hydroxy steroid, and the oxidative conversion of ketosteroids. The 3-beta-HSD enzymatic system plays a crucial role in the biosynthesis of all classes of hormonal steroids	Metabolism of Lipids & Lipoproteins
ABCD1	Probable transporter. Could be involved in the import of VLCFA-CoA synthetase into the peroxisomal membrane	Metabolism of Lipids & Lipoproteins
ACP6	Hydrolyzes lysophosphatidic acid to monoacylglycerol (By similarity)	Metabolism of Lipids & Lipoproteins
ACSS3	Activates acetate so that it can be used for lipid synthesis or for energy generation (By similarity)	Metabolism of Lipids & Lipoproteins
ACACA	catalytic activity:ATP + acetyl-CoA + HCO(3)(-) = ADP + phosphate + malonyl-CoAcatalytic activity:ATP + biotin-carboxyl-carrier protein + CO(2) = ADP + phosphate + carboxybiotin-carboxyl-carrier proteincofactor:Binds 2 manganese ions per subunitcofactor:Biotinenzyme regulation:By phosphorylationfunction:Catalyzes the rate-limiting reaction in the biogenesis of long-chain fatty acids. Carries out three functions: biotin carboxyl carrier protein, biotin carboxylase and carboxyltransferasepathway:Lipid metabolism; malonyl-CoA biosynthesis; malonyl-CoA from acetyl-CoA: step 1/1PTM:Phosphorylation on Ser-1262 is required for interaction with BRCA1similarity:Contains 1 ATP-grasp domainsimilarity:Contains 1 biotin carboxylation domainsimilarity:Contains 1 biotinyl-binding domainsimilarity:Contains 1 carboxyltransferase domainsubunit:Interacts in its inactive phosphorylated form with the BRCT domains of BRCA1 which prevents ACACA dephosphorylation and inhibits lipid synthesis	Metabolism of Lipids & Lipoproteins
CYB5R1	NADH-cytochrome b5 reductases are involved in desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction (By similarity)	Metabolism of Lipids & Lipoproteins
CYP11A1	Catalyzes the side-chain cleavage reaction of cholesterol to pregnenolone (By similarity)	Metabolism of Lipids & Lipoproteins
AGPAT5	Converts lysophosphatidic acid (LPA) into phosphatidic acid by incorporating an acyl moiety at the sn-2 position of the glycerol backbone (By similarity)	Metabolism of Lipids & Lipoproteins
GPAM	Esterifies acyl-group from acyl-ACP to the sn-1 position of glycerol-3-phosphate, an essential step in glycerolipid biosynthesis (By similarity)	Metabolism of Lipids & Lipoproteins
CYP11B2	Forms corticosterone from 11-deoxycorticosterone	Metabolism of Lipids & Lipoproteins
CYP11B1	similarity:Belongs to the cytochrome P450 family	Metabolism of Lipids & Lipoproteins
CYB5R3	Desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction (By similarity)	Metabolism of Lipids & Lipoproteins
NEU4	May function in lysosomal catabolism of sialylated glycoconjugates. Has sialidase activity towards synthetic substrates, such as 2'-(4-methylumbelliferyl)-alpha-D-N- acetylneuraminic acid (4-MU-NANA or 4MU-NeuAc). Has a broad substrate specificity being active on glycoproteins, oligosaccharides and sialylated glycolipids (By similarity)	Metabolism of Lipids & Lipoproteins
CYB5R2	NADH-cytochrome b5 reductases are involved in desaturation and elongation of fatty acids, cholesterol biosynthesis, drug metabolism, and, in erythrocyte, methemoglobin reduction. Responsible for NADH-dependent lucigenin chemiluminescence in spermatozoa by reducing both lucigenin and 2- [4-iodophenyl]-3-[4-nitrophenyl]-5-[2,4-disulfophenyl]-2H tetrazolium monosodium salt (WST-1) (By similarity)	Metabolism of Lipids & Lipoproteins
SERAC1	similarity:Belongs to the SERAC1 familytissue specificity:Testis	Metabolism of Lipids & Lipoproteins
