ID	GeneSymbol	Description	log2FC	AdjPValue
ENSMUSG00000028086.15	Fbxw7	F-box and WD-40 domain protein 7 [Source:MGI Symbol;Acc:MGI:1354695]	-1.300691108	3.00E-10
ENSMUSG00000015247.10	Nipsnap3b	nipsnap homolog 3B (C. elegans) [Source:MGI Symbol;Acc:MGI:1913786]	1.602530775	3.02E-10
ENSMUSG00000050192.8	Eif5a2	eukaryotic translation initiation factor 5A2 [Source:MGI Symbol;Acc:MGI:1933735]	1.780666616	3.02E-10
ENSMUSG00000052459.13	Atp6v1a	ATPase, H+ transporting, lysosomal V1 subunit A [Source:MGI Symbol;Acc:MGI:1201780]	1.203616799	3.03E-10
ENSMUSG00000030086.16	Chchd6	coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:MGI Symbol;Acc:MGI:1913348]	1.977372685	3.20E-10
ENSMUSG00000030208.15	Emp1	epithelial membrane protein 1 [Source:MGI Symbol;Acc:MGI:107941]	1.123494238	3.35E-10
ENSMUSG00000024538.7	Ppic	peptidylprolyl isomerase C [Source:MGI Symbol;Acc:MGI:97751]	1.105077557	3.44E-10
ENSMUSG00000039376.13	Synpo2l	synaptopodin 2-like [Source:MGI Symbol;Acc:MGI:1916010]	1.841548569	3.46E-10
ENSMUSG00000042613.9	Pbxip1	pre B cell leukemia transcription factor interacting protein 1 [Source:MGI Symbol;Acc:MGI:2441670]	1.387255093	3.61E-10
ENSMUSG00000063904.3	Dpp3	dipeptidylpeptidase 3 [Source:MGI Symbol;Acc:MGI:1922471]	1.235803812	3.61E-10
ENSMUSG00000021597.16	Slf1	SMC5-SMC6 complex localization factor 1 [Source:MGI Symbol;Acc:MGI:2145448]	-0.934338101	3.94E-10
ENSMUSG00000026773.19	Pfkfb3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:MGI Symbol;Acc:MGI:2181202]	1.339436984	4.11E-10
ENSMUSG00000074001.3	Klhl40	kelch-like 40 [Source:MGI Symbol;Acc:MGI:1919580]	-1.602322502	4.11E-10
ENSMUSG00000025968.16	Ndufs1	NADH dehydrogenase (ubiquinone) Fe-S protein 1 [Source:MGI Symbol;Acc:MGI:2443241]	-1.302854955	4.22E-10
ENSMUSG00000037411.10	Serpine1	serine (or cysteine) peptidase inhibitor, clade E, member 1 [Source:MGI Symbol;Acc:MGI:97608]	4.087803199	4.68E-10
ENSMUSG00000028132.15	Tmem56	transmembrane protein 56 [Source:MGI Symbol;Acc:MGI:1923195]	-1.924398032	4.78E-10
ENSMUSG00000001131.11	Timp1	tissue inhibitor of metalloproteinase 1 [Source:MGI Symbol;Acc:MGI:98752]	2.676682172	4.90E-10
ENSMUSG00000043085.14	Tmem82	transmembrane protein 82 [Source:MGI Symbol;Acc:MGI:2384869]	-2.69531058	5.03E-10
ENSMUSG00000007041.9	Clic1	chloride intracellular channel 1 [Source:MGI Symbol;Acc:MGI:2148924]	1.308150609	5.24E-10
ENSMUSG00000025142.17	Aspscr1	alveolar soft part sarcoma chromosome region, candidate 1 (human) [Source:MGI Symbol;Acc:MGI:1916188]	1.354140018	5.26E-10
ENSMUSG00000110489.1	Gm31659	predicted gene, 31659 [Source:MGI Symbol;Acc:MGI:5590818]	-2.420965043	5.41E-10
ENSMUSG00000019487.10	Trip10	thyroid hormone receptor interactor 10 [Source:MGI Symbol;Acc:MGI:2146901]	-1.192852426	5.52E-10
ENSMUSG00000046480.6	Scn4b	sodium channel, type IV, beta [Source:MGI Symbol;Acc:MGI:2687406]	-2.798075576	5.53E-10
ENSMUSG00000001870.15	Ltbp1	latent transforming growth factor beta binding protein 1 [Source:MGI Symbol;Acc:MGI:109151]	-1.359488341	5.55E-10
ENSMUSG00000022546.4	Gpt	glutamic pyruvic transaminase, soluble [Source:MGI Symbol;Acc:MGI:95802]	-1.923395822	5.64E-10
ENSMUSG00000044991.10	1110034G24Rik	RIKEN cDNA 1110034G24 gene [Source:MGI Symbol;Acc:MGI:1920997]	-1.567078426	5.68E-10
ENSMUSG00000025733.17	Rhot2	ras homolog family member T2 [Source:MGI Symbol;Acc:MGI:2384892]	-1.244872956	6.09E-10
ENSMUSG00000028756.12	Pink1	PTEN induced putative kinase 1 [Source:MGI Symbol;Acc:MGI:1916193]	-1.519055314	6.39E-10
ENSMUSG00000026458.13	Ppfia4	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4 [Source:MGI Symbol;Acc:MGI:1915757]	1.914490024	6.44E-10
ENSMUSG00000071324.11	Armc2	armadillo repeat containing 2 [Source:MGI Symbol;Acc:MGI:1916449]	-2.03670761	6.50E-10
ENSMUSG00000056220.14	Pla2g4a	phospholipase A2, group IVA (cytosolic, calcium-dependent) [Source:MGI Symbol;Acc:MGI:1195256]	2.12848629	6.71E-10
ENSMUSG00000026817.14	Ak1	adenylate kinase 1 [Source:MGI Symbol;Acc:MGI:87977]	-1.258144945	6.81E-10
ENSMUSG00000104621.1	Gm43185	predicted gene 43185 [Source:MGI Symbol;Acc:MGI:5663322]	-1.148991218	7.38E-10
ENSMUSG00000038301.15	Snx10	sorting nexin 10 [Source:MGI Symbol;Acc:MGI:1919232]	1.516981554	7.52E-10
ENSMUSG00000054484.14	Tmem62	transmembrane protein 62 [Source:MGI Symbol;Acc:MGI:2139461]	1.979596225	7.82E-10
ENSMUSG00000031129.9	Slc9a9	solute carrier family 9 (sodium/hydrogen exchanger), member 9 [Source:MGI Symbol;Acc:MGI:2679732]	1.682644206	8.27E-10
ENSMUSG00000066975.12	Cryba4	crystallin, beta A4 [Source:MGI Symbol;Acc:MGI:102716]	-3.802473335	8.56E-10
ENSMUSG00000042073.15	Abhd14b	abhydrolase domain containing 14b [Source:MGI Symbol;Acc:MGI:1923741]	-1.406749032	9.22E-10
ENSMUSG00000097357.2	Gm16793	predicted gene, 16793 [Source:MGI Symbol;Acc:MGI:4439717]	-2.591018713	9.52E-10
ENSMUSG00000069873.4	4930438A08Rik	RIKEN cDNA 4930438A08 gene [Source:MGI Symbol;Acc:MGI:1921238]	9.567564717	9.93E-10
ENSMUSG00000053332.13	Gas5	growth arrest specific 5 [Source:MGI Symbol;Acc:MGI:95659]	1.193583074	9.96E-10
ENSMUSG00000031708.16	Tecr	trans-2,3-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:1915408]	-1.517177915	1.01E-09
ENSMUSG00000059408.2	Mrgprh	MAS-related GPR, member H [Source:MGI Symbol;Acc:MGI:1934134]	-2.754445612	1.02E-09
ENSMUSG00000020439.17	Smtn	smoothelin [Source:MGI Symbol;Acc:MGI:1354727]	-1.252621704	1.04E-09
ENSMUSG00000042529.14	Kcnj12	potassium inwardly-rectifying channel, subfamily J, member 12 [Source:MGI Symbol;Acc:MGI:108495]	-1.252852177	1.05E-09
ENSMUSG00000071866.12	Ppia	peptidylprolyl isomerase A [Source:MGI Symbol;Acc:MGI:97749]	1.038638792	1.06E-09
ENSMUSG00000001506.10	Col1a1	collagen, type I, alpha 1 [Source:MGI Symbol;Acc:MGI:88467]	2.245437739	1.08E-09
ENSMUSG00000018845.14	Unc45b	unc-45 myosin chaperone B [Source:MGI Symbol;Acc:MGI:2443377]	-1.056335825	1.08E-09
ENSMUSG00000020955.9	Ap4s1	adaptor-related protein complex AP-4, sigma 1 [Source:MGI Symbol;Acc:MGI:1337065]	-1.166568316	1.12E-09
ENSMUSG00000046402.10	Rbp1	retinol binding protein 1, cellular [Source:MGI Symbol;Acc:MGI:97876]	1.54494233	1.12E-09
ENSMUSG00000021756.12	Il6st	interleukin 6 signal transducer [Source:MGI Symbol;Acc:MGI:96560]	0.973053299	1.16E-09
ENSMUSG00000037095.7	Lrg1	leucine-rich alpha-2-glycoprotein 1 [Source:MGI Symbol;Acc:MGI:1924155]	-2.17880416	1.17E-09
ENSMUSG00000015027.11	Galns	galactosamine (N-acetyl)-6-sulfate sulfatase [Source:MGI Symbol;Acc:MGI:1355303]	1.692114329	1.18E-09
ENSMUSG00000033777.3	Tlr13	toll-like receptor 13 [Source:MGI Symbol;Acc:MGI:3045213]	2.546585192	1.19E-09
ENSMUSG00000033065.13	Pfkm	phosphofructokinase, muscle [Source:MGI Symbol;Acc:MGI:97548]	-1.332830562	1.22E-09
ENSMUSG00000030116.14	Mfap5	microfibrillar associated protein 5 [Source:MGI Symbol;Acc:MGI:1354387]	1.754451099	1.24E-09
ENSMUSG00000026313.16	Hdac4	histone deacetylase 4 [Source:MGI Symbol;Acc:MGI:3036234]	-0.887940195	1.27E-09
ENSMUSG00000026664.7	Phyh	phytanoyl-CoA hydroxylase [Source:MGI Symbol;Acc:MGI:891978]	-1.3335756	1.27E-09
ENSMUSG00000026956.15	Uap1l1	UDP-N-acteylglucosamine pyrophosphorylase 1-like 1 [Source:MGI Symbol;Acc:MGI:2443318]	1.559662582	1.27E-09
ENSMUSG00000111080.1	AC153899.1		-1.56498729	1.27E-09
ENSMUSG00000027346.15	Gpcpd1	glycerophosphocholine phosphodiesterase 1 [Source:MGI Symbol;Acc:MGI:104898]	-1.527704776	1.29E-09
ENSMUSG00000004748.5	Mtfp1	mitochondrial fission process 1 [Source:MGI Symbol;Acc:MGI:1916686]	-1.805439569	1.32E-09
ENSMUSG00000041616.9	Nppa	natriuretic peptide type A [Source:MGI Symbol;Acc:MGI:97367]	6.153046354	1.45E-09
ENSMUSG00000070047.14	Fat1	FAT atypical cadherin 1 [Source:MGI Symbol;Acc:MGI:109168]	1.110486342	1.45E-09
ENSMUSG00000033554.17	Dph5	diphthamide biosynthesis 5 [Source:MGI Symbol;Acc:MGI:1916990]	1.367877869	1.52E-09
ENSMUSG00000078815.8	Cacng6	calcium channel, voltage-dependent, gamma subunit 6 [Source:MGI Symbol;Acc:MGI:1859168]	-4.797197678	1.57E-09
ENSMUSG00000024835.14	Coro1b	coronin, actin binding protein 1B [Source:MGI Symbol;Acc:MGI:1345963]	0.922185796	1.62E-09
ENSMUSG00000026192.13	Atic	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase [Source:MGI Symbol;Acc:MGI:1351352]	1.095559636	1.64E-09
ENSMUSG00000040690.15	Col16a1	collagen, type XVI, alpha 1 [Source:MGI Symbol;Acc:MGI:1095396]	1.463376749	1.65E-09
ENSMUSG00000023045.12	Soat2	sterol O-acyltransferase 2 [Source:MGI Symbol;Acc:MGI:1332226]	8.0760649	1.69E-09
ENSMUSG00000062981.5	Mrpl42	mitochondrial ribosomal protein L42 [Source:MGI Symbol;Acc:MGI:1333774]	-1.140224104	1.79E-09
ENSMUSG00000020532.18	Acaca	acetyl-Coenzyme A carboxylase alpha [Source:MGI Symbol;Acc:MGI:108451]	1.339283745	1.80E-09
ENSMUSG00000107331.1	Gm42732	predicted gene 42732 [Source:MGI Symbol;Acc:MGI:5662869]	-1.810410133	1.80E-09
ENSMUSG00000017664.16	Slc35c2	solute carrier family 35, member C2 [Source:MGI Symbol;Acc:MGI:2385166]	1.239907927	1.84E-09
ENSMUSG00000054277.7	Arfgap3	ADP-ribosylation factor GTPase activating protein 3 [Source:MGI Symbol;Acc:MGI:1913501]	1.209562246	1.84E-09
ENSMUSG00000030035.14	Wbp1	WW domain binding protein 1 [Source:MGI Symbol;Acc:MGI:104710]	-1.001638413	1.86E-09
ENSMUSG00000027597.15	Ahcy	S-adenosylhomocysteine hydrolase [Source:MGI Symbol;Acc:MGI:87968]	1.574209349	1.90E-09
ENSMUSG00000037736.18	Limch1	LIM and calponin homology domains 1 [Source:MGI Symbol;Acc:MGI:1924819]	-1.722896009	1.90E-09
ENSMUSG00000055493.4	Epm2a	epilepsy, progressive myoclonic epilepsy, type 2 gene alpha [Source:MGI Symbol;Acc:MGI:1341085]	-1.286024072	1.96E-09
ENSMUSG00000054793.8	Cadm4	cell adhesion molecule 4 [Source:MGI Symbol;Acc:MGI:2449088]	-1.552440043	1.97E-09
ENSMUSG00000035606.8	Ky	kyphoscoliosis peptidase [Source:MGI Symbol;Acc:MGI:96709]	-3.000296595	1.99E-09
ENSMUSG00000045100.11	Slc25a26	solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 26 [Source:MGI Symbol;Acc:MGI:1914832]	-1.204926852	2.01E-09
ENSMUSG00000001424.14	Snd1	staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]	1.123744541	2.03E-09
ENSMUSG00000022686.14	B3gnt5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5 [Source:MGI Symbol;Acc:MGI:2137302]	3.573621012	2.19E-09
ENSMUSG00000057933.10	Gsta2	glutathione S-transferase, alpha 2 (Yc2) [Source:MGI Symbol;Acc:MGI:95863]	4.681634877	2.22E-09
ENSMUSG00000021456.8	Fbp2	fructose bisphosphatase 2 [Source:MGI Symbol;Acc:MGI:95491]	-2.602937637	2.29E-09
ENSMUSG00000015335.16	Zdhhc12	zinc finger, DHHC domain containing 12 [Source:MGI Symbol;Acc:MGI:1913470]	2.167470432	2.33E-09
ENSMUSG00000016554.8	Eif3d	eukaryotic translation initiation factor 3, subunit D [Source:MGI Symbol;Acc:MGI:1933181]	1.00447214	2.36E-09
ENSMUSG00000042759.12	Apobr	apolipoprotein B receptor [Source:MGI Symbol;Acc:MGI:2176230]	2.76435988	2.39E-09
ENSMUSG00000108802.1	Gm44769	predicted gene 44769 [Source:MGI Symbol;Acc:MGI:5753345]	-2.331150322	2.43E-09
ENSMUSG00000004446.12	Bid	BH3 interacting domain death agonist [Source:MGI Symbol;Acc:MGI:108093]	2.631096028	2.44E-09
ENSMUSG00000050071.8	Bex1	brain expressed X-linked 1 [Source:MGI Symbol;Acc:MGI:1328321]	4.481947527	2.49E-09
ENSMUSG00000026858.18	Miga2	mitoguardin 2 [Source:MGI Symbol;Acc:MGI:1922035]	-0.982976071	2.58E-09
ENSMUSG00000031503.13	Col4a2	collagen, type IV, alpha 2 [Source:MGI Symbol;Acc:MGI:88455]	0.873394778	2.86E-09
ENSMUSG00000028603.15	Scp2	sterol carrier protein 2, liver [Source:MGI Symbol;Acc:MGI:98254]	-0.931815649	2.98E-09
ENSMUSG00000021200.14	Asb2	ankyrin repeat and SOCS box-containing 2 [Source:MGI Symbol;Acc:MGI:1929743]	-1.707481087	3.07E-09
ENSMUSG00000031103.12	Elf4	E74-like factor 4 (ets domain transcription factor) [Source:MGI Symbol;Acc:MGI:1928377]	1.686919229	3.09E-09
ENSMUSG00000028708.16	Mknk1	MAP kinase-interacting serine/threonine kinase 1 [Source:MGI Symbol;Acc:MGI:894316]	1.587732527	3.15E-09
ENSMUSG00000018293.4	Pfn1	profilin 1 [Source:MGI Symbol;Acc:MGI:97549]	1.059879809	3.29E-09
ENSMUSG00000037020.16	Wdr62	WD repeat domain 62 [Source:MGI Symbol;Acc:MGI:1923696]	2.309499932	3.32E-09
ENSMUSG00000002897.5	Il17ra	interleukin 17 receptor A [Source:MGI Symbol;Acc:MGI:107399]	2.05913495	3.37E-09
ENSMUSG00000085218.7	BB218582	expressed sequence BB218582 [Source:MGI Symbol;Acc:MGI:2139448]	-2.932208089	3.40E-09
ENSMUSG00000004939.7	Nmrk2	nicotinamide riboside kinase 2 [Source:MGI Symbol;Acc:MGI:1916814]	6.101482336	3.52E-09
ENSMUSG00000064202.15	4430402I18Rik	RIKEN cDNA 4430402I18 gene [Source:MGI Symbol;Acc:MGI:1918036]	-1.535528605	3.54E-09
ENSMUSG00000000305.12	Cdh4	cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]	2.136742442	3.72E-09
ENSMUSG00000060512.7	0610040J01Rik	RIKEN cDNA 0610040J01 gene [Source:MGI Symbol;Acc:MGI:1923511]	-3.288071188	3.73E-09
ENSMUSG00000020773.11	Trim47	tripartite motif-containing 47 [Source:MGI Symbol;Acc:MGI:1917374]	1.61280245	3.92E-09
ENSMUSG00000005580.11	Adcy9	adenylate cyclase 9 [Source:MGI Symbol;Acc:MGI:108450]	-1.284938618	4.13E-09
ENSMUSG00000026096.14	Osgepl1	O-sialoglycoprotein endopeptidase-like 1 [Source:MGI Symbol;Acc:MGI:1919335]	-1.111315194	4.16E-09
ENSMUSG00000049038.3	Mterf2	mitochondrial transcription termination factor 2 [Source:MGI Symbol;Acc:MGI:1921488]	-1.366379377	4.48E-09
ENSMUSG00000034353.14	Ramp1	receptor (calcitonin) activity modifying protein 1 [Source:MGI Symbol;Acc:MGI:1858418]	-1.916058146	4.61E-09
ENSMUSG00000041695.2	Kcnj2	potassium inwardly-rectifying channel, subfamily J, member 2 [Source:MGI Symbol;Acc:MGI:104744]	-1.909694775	4.61E-09
ENSMUSG00000039542.16	Ncam1	neural cell adhesion molecule 1 [Source:MGI Symbol;Acc:MGI:97281]	2.756252113	4.66E-09
ENSMUSG00000000693.10	Loxl3	lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]	1.468944326	4.79E-09
ENSMUSG00000056185.4	Snx32	sorting nexin 32 [Source:MGI Symbol;Acc:MGI:2444704]	1.560202739	4.80E-09
ENSMUSG00000020476.14	Dbnl	drebrin-like [Source:MGI Symbol;Acc:MGI:700006]	0.97841595	4.85E-09
ENSMUSG00000002346.16	Slc25a42	solute carrier family 25, member 42 [Source:MGI Symbol;Acc:MGI:1920345]	-1.25114822	4.86E-09
ENSMUSG00000058013.11	Sep-11	septin 11 [Source:MGI Symbol;Acc:MGI:1277214]	0.831972538	4.89E-09
ENSMUSG00000025246.13	Tbl1x	transducin (beta)-like 1 X-linked [Source:MGI Symbol;Acc:MGI:1336172]	1.074307746	5.03E-09
ENSMUSG00000097652.2	Mhrt	myosin heavy chain associated RNA transcript [Source:MGI Symbol;Acc:MGI:3642848]	-1.92932018	5.04E-09
ENSMUSG00000030614.8	Tmem126b	transmembrane protein 126B [Source:MGI Symbol;Acc:MGI:1915722]	-0.947954484	5.07E-09
ENSMUSG00000030386.18	Zfp606	zinc finger protein 606 [Source:MGI Symbol;Acc:MGI:1914620]	-1.268713692	5.12E-09
ENSMUSG00000070639.5	Lrrc8b	leucine rich repeat containing 8 family, member B [Source:MGI Symbol;Acc:MGI:2141353]	1.301992387	5.14E-09
ENSMUSG00000042251.12	Pm20d1	peptidase M20 domain containing 1 [Source:MGI Symbol;Acc:MGI:2442939]	-2.004180735	5.16E-09
ENSMUSG00000020598.16	Nrcam	neuronal cell adhesion molecule [Source:MGI Symbol;Acc:MGI:104750]	3.564305477	5.29E-09
ENSMUSG00000027784.10	Ppm1l	protein phosphatase 1 (formerly 2C)-like [Source:MGI Symbol;Acc:MGI:2139740]	-0.982516245	5.49E-09
ENSMUSG00000020137.5	Thap2	THAP domain containing, apoptosis associated protein 2 [Source:MGI Symbol;Acc:MGI:1914066]	-1.114192826	5.59E-09
ENSMUSG00000027506.15	Tpd52	tumor protein D52 [Source:MGI Symbol;Acc:MGI:107749]	1.128680659	5.78E-09
ENSMUSG00000051989.11	Smim11	small integral membrane protein 11 [Source:MGI Symbol;Acc:MGI:1916186]	-1.105833062	5.90E-09
ENSMUSG00000037145.14	2210407C18Rik	RIKEN cDNA 2210407C18 gene [Source:MGI Symbol;Acc:MGI:1925604]	-4.55552972	5.92E-09
ENSMUSG00000037601.11	Nme1	NME/NM23 nucleoside diphosphate kinase 1 [Source:MGI Symbol;Acc:MGI:97355]	1.719104839	5.92E-09
ENSMUSG00000027247.16	Arhgap1	Rho GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:2445003]	1.599514091	5.98E-09
ENSMUSG00000023883.13	Phf10	PHD finger protein 10 [Source:MGI Symbol;Acc:MGI:1919307]	1.66462105	6.12E-09
ENSMUSG00000034898.16	Filip1	filamin A interacting protein 1 [Source:MGI Symbol;Acc:MGI:1917848]	-0.927137245	6.23E-09
ENSMUSG00000044948.16	Cfap43	cilia and flagella associated protein 43 [Source:MGI Symbol;Acc:MGI:1289258]	1.751149372	6.39E-09
ENSMUSG00000075054.5	Yae1d1	Yae1 domain containing 1 [Source:MGI Symbol;Acc:MGI:1914258]	-0.945274718	6.52E-09
ENSMUSG00000085632.1	Gm12381	predicted gene 12381 [Source:MGI Symbol;Acc:MGI:3651851]	-2.925542395	6.52E-09
ENSMUSG00000106220.1	Gm43288	predicted gene 43288 [Source:MGI Symbol;Acc:MGI:5663425]	-2.584168469	6.74E-09
ENSMUSG00000045679.14	Pqlc3	PQ loop repeat containing [Source:MGI Symbol;Acc:MGI:2444067]	1.652584467	6.84E-09
ENSMUSG00000038991.16	Txndc5	thioredoxin domain containing 5 [Source:MGI Symbol;Acc:MGI:2145316]	1.020527356	6.85E-09
ENSMUSG00000025728.15	Pigq	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:MGI Symbol;Acc:MGI:1333114]	0.973100494	6.88E-09
ENSMUSG00000027207.15	Galk2	galactokinase 2 [Source:MGI Symbol;Acc:MGI:1917226]	1.331052029	6.94E-09
ENSMUSG00000002781.19	Tmem143	transmembrane protein 143 [Source:MGI Symbol;Acc:MGI:1917459]	-1.287745907	7.51E-09
ENSMUSG00000030513.14	Pcsk6	proprotein convertase subtilisin/kexin type 6 [Source:MGI Symbol;Acc:MGI:102897]	-1.269605802	7.69E-09
ENSMUSG00000018326.9	Ywhab	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta polypeptide [Source:MGI Symbol;Acc:MGI:1891917]	0.889854173	7.71E-09
ENSMUSG00000048440.15	Cyp4f16	cytochrome P450, family 4, subfamily f, polypeptide 16 [Source:MGI Symbol;Acc:MGI:1917351]	1.524512252	7.83E-09
ENSMUSG00000019433.9	Gipc1	GIPC PDZ domain containing family, member 1 [Source:MGI Symbol;Acc:MGI:1926252]	1.154164417	7.94E-09
ENSMUSG00000105762.1	Gm43605	predicted gene 43605 [Source:MGI Symbol;Acc:MGI:5663742]	-1.844751799	8.06E-09
ENSMUSG00000057113.13	Npm1	nucleophosmin 1 [Source:MGI Symbol;Acc:MGI:106184]	0.746252926	8.29E-09
ENSMUSG00000029430.13	Ran	RAN, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1333112]	0.855813046	8.60E-09
ENSMUSG00000038663.7	Fsd2	fibronectin type III and SPRY domain containing 2 [Source:MGI Symbol;Acc:MGI:2444310]	-1.568960934	8.76E-09
ENSMUSG00000038370.6	Pcp4l1	Purkinje cell protein 4-like 1 [Source:MGI Symbol;Acc:MGI:1913675]	-1.205854152	8.81E-09
ENSMUSG00000094786.1	Gm14403	predicted gene 14403 [Source:MGI Symbol;Acc:MGI:3649813]	-1.515424797	8.88E-09
ENSMUSG00000074183.3	Gsta1	glutathione S-transferase, alpha 1 (Ya) [Source:MGI Symbol;Acc:MGI:1095417]	3.433421115	9.06E-09
ENSMUSG00000030082.14	Sec61a1	Sec61 alpha 1 subunit (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:1858417]	1.075158805	9.93E-09
ENSMUSG00000038555.7	Reep2	receptor accessory protein 2 [Source:MGI Symbol;Acc:MGI:2385070]	3.273999138	1.03E-08
ENSMUSG00000059852.7	Kcng2	potassium voltage-gated channel, subfamily G, member 2 [Source:MGI Symbol;Acc:MGI:3694646]	-0.830437308	1.03E-08
ENSMUSG00000031312.5	Itgb1bp2	integrin beta 1 binding protein 2 [Source:MGI Symbol;Acc:MGI:1353420]	-1.915590467	1.07E-08
ENSMUSG00000014313.14	Cox6c	cytochrome c oxidase subunit VIc [Source:MGI Symbol;Acc:MGI:104614]	-1.354287006	1.11E-08
ENSMUSG00000029843.4	Slc13a4	solute carrier family 13 (sodium/sulfate symporters), member 4 [Source:MGI Symbol;Acc:MGI:2442367]	5.615024447	1.12E-08
ENSMUSG00000024529.13	Lox	lysyl oxidase [Source:MGI Symbol;Acc:MGI:96817]	2.273037337	1.14E-08
ENSMUSG00000059659.7	Gm10069	predicted gene 10069 [Source:MGI Symbol;Acc:MGI:3641875]	-2.54065278	1.14E-08
ENSMUSG00000026343.6	Gpr39	G protein-coupled receptor 39 [Source:MGI Symbol;Acc:MGI:1918361]	4.108923384	1.16E-08
ENSMUSG00000051359.14	Ncald	neurocalcin delta [Source:MGI Symbol;Acc:MGI:1196326]	-1.381015051	1.16E-08
ENSMUSG00000014813.8	Stc1	stanniocalcin 1 [Source:MGI Symbol;Acc:MGI:109131]	2.142427498	1.21E-08
ENSMUSG00000029675.12	Eln	elastin [Source:MGI Symbol;Acc:MGI:95317]	1.788377402	1.25E-08
ENSMUSG00000036819.14	Jmjd4	jumonji domain containing 4 [Source:MGI Symbol;Acc:MGI:2144404]	-1.061969068	1.27E-08
ENSMUSG00000041360.7	Pum3	pumilio RNA-binding family member 3 [Source:MGI Symbol;Acc:MGI:106253]	1.170852247	1.29E-08
ENSMUSG00000043162.7	Pyurf	Pigy upstream reading frame [Source:MGI Symbol;Acc:MGI:1913709]	-1.264423655	1.30E-08
ENSMUSG00000026576.12	Atp1b1	ATPase, Na+/K+ transporting, beta 1 polypeptide [Source:MGI Symbol;Acc:MGI:88108]	1.132072376	1.33E-08
ENSMUSG00000040213.13	Kyat3	kynurenine aminotransferase 3 [Source:MGI Symbol;Acc:MGI:2677849]	-1.188118522	1.35E-08
ENSMUSG00000020173.17	Cobl	cordon-bleu WH2 repeat [Source:MGI Symbol;Acc:MGI:105056]	1.490397202	1.36E-08
ENSMUSG00000022369.13	Mtbp	Mdm2, transformed 3T3 cell double minute p53 binding protein [Source:MGI Symbol;Acc:MGI:2146005]	1.558400979	1.37E-08
ENSMUSG00000039318.12	Rab3gap2	RAB3 GTPase activating protein subunit 2 [Source:MGI Symbol;Acc:MGI:1916043]	1.003460499	1.37E-08
ENSMUSG00000002835.8	Chaf1a	chromatin assembly factor 1, subunit A (p150) [Source:MGI Symbol;Acc:MGI:1351331]	1.870007509	1.38E-08
ENSMUSG00000105962.1	Gm42432	predicted gene 42432 [Source:MGI Symbol;Acc:MGI:5662569]	-1.461464888	1.38E-08
ENSMUSG00000040552.8	C3ar1	complement component 3a receptor 1 [Source:MGI Symbol;Acc:MGI:1097680]	1.489420919	1.42E-08
ENSMUSG00000050856.16	Atp5k	ATP synthase, H+ transporting, mitochondrial F1F0 complex, subunit E [Source:MGI Symbol;Acc:MGI:106636]	-1.344052964	1.42E-08
ENSMUSG00000022964.14	Tmem50b	transmembrane protein 50B [Source:MGI Symbol;Acc:MGI:1925225]	-1.029521224	1.45E-08
ENSMUSG00000027203.15	Dut	deoxyuridine triphosphatase [Source:MGI Symbol;Acc:MGI:1346051]	-1.694122161	1.45E-08
ENSMUSG00000024601.8	Isoc1	isochorismatase domain containing 1 [Source:MGI Symbol;Acc:MGI:1913557]	-0.994704966	1.53E-08
ENSMUSG00000025277.13	Abhd6	abhydrolase domain containing 6 [Source:MGI Symbol;Acc:MGI:1913332]	1.76511528	1.54E-08
ENSMUSG00000041126.16	H2afv	H2A histone family, member V [Source:MGI Symbol;Acc:MGI:1924855]	-1.103839685	1.55E-08
ENSMUSG00000021701.7	Plk2	polo-like kinase 2 [Source:MGI Symbol;Acc:MGI:1099790]	1.789038386	1.58E-08
ENSMUSG00000070570.5	Slc17a7	solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7 [Source:MGI Symbol;Acc:MGI:1920211]	2.529702588	1.58E-08
ENSMUSG00000040350.16	Trim7	tripartite motif-containing 7 [Source:MGI Symbol;Acc:MGI:2137353]	-1.830392845	1.64E-08
ENSMUSG00000040640.10	Erc2	ELKS/RAB6-interacting/CAST family member 2 [Source:MGI Symbol;Acc:MGI:1098749]	2.060529437	1.67E-08
ENSMUSG00000034245.10	Hdac11	histone deacetylase 11 [Source:MGI Symbol;Acc:MGI:2385252]	-1.254697127	1.68E-08
ENSMUSG00000032399.8	Rpl4	ribosomal protein L4 [Source:MGI Symbol;Acc:MGI:1915141]	0.713924454	1.72E-08
